City,Venue,Address/Area,Pitch Types,Booking Method,Phone/Link
Nicosia,Strovolos Municipal Sports Centre,Strovolos - Korytsas 20,4×Futsal,Phone,+357 22 318358
Nicosia,Wembley Futsal Fields,Lakatamia,2×9×9 & 5×5,Phone,+357 99 151109
Nicosia,City Fields,Strovolos,1×9×9 + 3×5×5 + padel,Phone / Website,7000 6789
Nicosia,City Mini Soccer,Nicosia,5×5,Phone,+357 99 221888
Nicosia,PAEEK Kerynia Sports Center,Strovolos/Lakatamia,5×5 / 7×7 / 9×9,Phone,+357 99 558811
Nicosia,Central Park Futsal,Central Nicosia,5×5,Phone/Facebook,+357 99 774418
Nicosia,Campeone Mini Football,Lakatamia/Anthoupoli,7×5×5 + 3×7×7 + 1×big,Phone,+357 99 403603
Nicosia,Arena Futsal Center,Lakatamia,5×5,Phone,+357 22 322782
Nicosia,Sporting Futsal Center,Lakatamia,5×5,Phone,7777 8858
Nicosia,GC School Futsal,Strovolos,Futsal court,Phone,+357 22 464400
Nicosia,PAEEK Futsal Academy,Nicosia,Futsal court,Phone,Check PAEEK office
Nicosia,Various school/club futsal courts,Nicosia,Futsal courts,Phone,Local numbers
Limassol,NAIS Sports Club,Germasogeia,2×5×5,Website,naissports.com
Limassol,Wembley Ypsonas Mini Football,Ypsonas,5×5,Phone,+357 99 582008
Limassol,Minalido Sports Center,Germasogeia,5×5,Facebook,Minalido FB
Limassol,Harakis NovaSports Center,Limassol,5×5,Facebook,Harakis Nova FB
Limassol,Lanitio Mini Football,Central Limassol,2×5×5,Phone,+357 25 315757
Limassol,Alsos Athletic Centre,Limassol,5×5,Phone,+357 99 555222
Limassol,SP Athletico Korfi,Paramytha,Mini-football,Phone,+357 99 085708
Limassol,Barcelona FA Mini-Football,Limassol,Mini-football,Phone,Barcelona FA Office
Limassol,Parklane Resort Mini Football,Parekklisia,Mini-football,Hotel booking,Parklane Hotel
Larnaca,Livadia Futsal Club,Livadia,Multiple 5×5,Website / Phone,See listing
Larnaca,Delle Alpi Futsal Courts,Aradippou,Futsal court,Phone,+357 24 010592
Larnaca,AEK Futsal Court,Larnaca,Futsal court,Phone,+357 24 655999
Larnaca,Elite Sports Center Pascal,Larnaca,Mini-football,Phone,PASCAL office
Paphos,Wembley Sports Center,Emba,2×mini-football,Website / Playtomic,wembleysportscenter.com
Paphos,Alana Sports Center,Geroskipou,2×mini-football + padel,Playtomic / Phone,Alana Sports FB
Paphos,Minthis Resort Sports Ground,Tsada,Mini-football,Playtomic,Minthis Resort
Paphos,Aliathon Resort,Geroskipou,Mini-football,Hotel booking,Aliathon Hotel
